title,address,price,link1
Piękne 3 pokojowe mieszkanie na Bielanach,"ul. Sokratesa, Wawrzyszew, Bielany, Warszawa, mazowieckie",1 200 000 zł,/pl/oferta/piekne-3-pokojowe-mieszkanie-na-bielanach-ID4nvWd
"Wilcza, 3 pokoje z balkonami, 107m2, 4 kondygnacja","ul. Wilcza, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",2 399 000 zł,/pl/oferta/wilcza-3-pokoje-z-balkonami-107m2-4-kondygnacja-ID4ltp6
Mieszkanie 3-pokojowe ul. płk. W. Łokuciewskiego,"ul. płk. Witolda Łokuciewskiego, Górce, Bemowo, Warszawa, mazowieckie",1 270 000 zł,/pl/oferta/mieszkanie-3-pokojowe-ul-plk-w-lokuciewskiego-ID4neo2
Nowoczesne mieszkanie z ogrodem w Starej Miłosnej,"ul. Dworkowa, Stara Miłosna, Wesoła, Warszawa, mazowieckie",1 250 000 zł,/pl/oferta/nowoczesne-mieszkanie-z-ogrodem-w-starej-milosnej-ID4nkSo
Kawalerka przy Parku Olszyna - Metro Słodowiec,"ul. Zbigniewa Romaszewskiego, Słodowiec, Bielany, Warszawa, mazowieckie",457 000 zł,/pl/oferta/kawalerka-przy-parku-olszyna-metro-slodowiec-ID4nvkJ
Penthouse z dużym tarasem i widokiem na Warszawę,"ul. Grzybowska, Mirów, Wola, Warszawa, mazowieckie",7 000 000 zł,/pl/oferta/penthouse-z-duzym-tarasem-i-widokiem-na-warszawe-ID4nsjH
Mokotów | 124 m2 | Ogód - 145m2 | Widok na zieleń,"ul. Piaseczyńska, Sielce, Mokotów, Warszawa, mazowieckie",3 348 810 zł,/pl/oferta/mokotow-124-m2-ogod-145m2-widok-na-zielen-ID4lt4d
Noakowskiego | Przestronne 158m2 | Top lokalizacja,"ul. Stanisława Noakowskiego, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",4 750 800 zł,/pl/oferta/noakowskiego-przestronne-158m2-top-lokalizacja-ID4lcd4
"Piękne 3 pokoje, Przy wejściu do METRA + PARKING!","ul. gen. Waleriana Czumy 4, Jelonki Północne, Bemowo, Warszawa, mazowieckie",849 000 zł,/pl/oferta/piekne-3-pokoje-przy-wejsciu-do-metra-parking-ID4n1nk
"Rozkładowe, ciche, piękny widok, BEZPOŚREDNIO","ul. Marii Dąbrowskiej, Chomiczówka, Bielany, Warszawa, mazowieckie",745 000 zł,/pl/oferta/rozkladowe-ciche-piekny-widok-bezposrednio-ID4ntkN
"Bezpośrednio mieszkanie na biuro, gabinet 3 pokoje","ul. Żytnia, Młynów, Wola, Warszawa, mazowieckie",1 130 000 zł,/pl/oferta/bezposrednio-mieszkanie-na-biuro-gabinet-3-pokoje-ID4nkD5
"Nowoczesne i wygodne, 2 pokojowe mieszkanie, 61m","al. Aleja Rzeczypospolitej, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",1 000 000 zł,/pl/oferta/nowoczesne-i-wygodne-2-pokojowe-mieszkanie-61m-ID4nkvq
"Praga ul. Kłopotowskiego ,Kamienica z 1899 roku","ul. ks. Ignacego Kłopotowskiego, Stara Praga, Praga-Północ, Warszawa, mazowieckie",1 150 000 zł,/pl/oferta/praga-ul-klopotowskiego-kamienica-z-1899-roku-ID4ncuX
Dwupoziomowe mieszkanie z 2 tarasami na Mokotowie,"Stegny, Mokotów, Warszawa, mazowieckie",1 349 000 zł,/pl/oferta/dwupoziomowe-mieszkanie-z-2-tarasami-na-mokotowie-ID4mT5U
"1- pokojowe, idealne jako inwestycyjne, Mokotów","Służewiec, Mokotów, Warszawa, mazowieckie",590 000 zł,/pl/oferta/1-pokojowe-idealne-jako-inwestycyjne-mokotow-ID4ng3U
"3 - pokoje 42,2m2 BEZPOŚREDNIO Stegny","ul. Kaukaska, Stegny, Mokotów, Warszawa, mazowieckie",671 900 zł,/pl/oferta/3-pokoje-42-2m2-bezposrednio-stegny-ID4nvAU
Luksusowy penthouse | 2 tarasy | Klimatyzacja,"ul. Relaksowa, Kabaty, Ursynów, Warszawa, mazowieckie",4 200 000 zł,/pl/oferta/luksusowy-penthouse-2-tarasy-klimatyzacja-ID4n5vl
5-pokojowe mieszkanie 92m2 + 2 balkony,"ul. Optyków, Gocław, Praga-Południe, Warszawa, mazowieckie",1 549 400 zł,/pl/oferta/5-pokojowe-mieszkanie-92m2-2-balkony-ID4i0e6
"Ustawne, jasne, 2 pokoje i 2 łazienki, GARAŻ","ul. Tamka, Powiśle, Śródmieście, Warszawa, mazowieckie",1 130 000 zł,/pl/oferta/ustawne-jasne-2-pokoje-i-2-lazienki-garaz-ID4nxmC
"Odbiór 12.2023/3 pok/59,06/Ursus","Herbu Oksa 20, Szamoty, Ursus, Warszawa, mazowieckie",735 000 zł,/pl/oferta/odbior-12-2023-3-pok-59-06-ursus-ID4nwIt
BEZPOŚREDNIO – Wykończony apartament 3 pokoje,"ul. Narwik 16, Górce, Bemowo, Warszawa, mazowieckie",1 250 000 zł,/pl/oferta/bezposrednio-wykonczony-apartament-3-pokoje-ID4lkoN
LOFT GARDEN Wesoła ETAP II 53-97m2 apart. OGRÓDEK,"Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie",998 700 zł,/pl/oferta/loft-garden-wesola-etap-ii-53-97m2-apart-ogrodek-ID4m4Nd
Designerskie mieszkanie na Szczęśliwicach,"ul. Lutniowa, Szczęśliwice, Ochota, Warszawa, mazowieckie",2 657 066 zł,/pl/oferta/designerskie-mieszkanie-na-szczesliwicach-ID4mGVx
"Mieszkanie 3 pokoje, Ursus Skorosze. 65,9m2","ul. Dzieci Warszawy 11a, Czechowice, Ursus, Warszawa, mazowieckie",900 000 zł,/pl/oferta/mieszkanie-3-pokoje-ursus-skorosze-65-9m2-ID4nkQy
"Przytulne 2 pok., kameralne osiedle na Ursynowie","ul. Pustułeczki, Stary Imielin, Ursynów, Warszawa, mazowieckie",675 000 zł,/pl/oferta/przytulne-2-pok-kameralne-osiedle-na-ursynowie-ID4nxj9
KAWALERKA | 1 Pokój | po remoncie | bezpośrednio,"ul. Franciszka Żymirskiego, Gocław, Praga-Południe, Warszawa, mazowieckie",498 000 zł,/pl/oferta/kawalerka-1-pokoj-po-remoncie-bezposrednio-ID4nkxR
Rodzinne mieszkanie z tarasem i widokiem na sad,"ul. Dostatnia, Zawady, Wilanów, Warszawa, mazowieckie",2 215 202 zł,/pl/oferta/rodzinne-mieszkanie-z-tarasem-i-widokiem-na-sad-ID4kxxN
Patria - Kruczkowskiego,"Solec, Śródmieście, Warszawa, mazowieckie",1 979 600 zł,/pl/oferta/patria-kruczkowskiego-ID4nxue
Mieszkanie 3 pokojowe z ogródkiem i garażem | A2,"ul. Słowicza, Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie",752 000 zł,/pl/oferta/mieszkanie-3-pokojowe-z-ogrodkiem-i-garazem-a2-ID4mpy3
"Funkcjonalne 2 pokojowe, balkon, 15 min do Metra","ul. Aluzyjna, Nowodwory, Białołęka, Warszawa, mazowieckie",529 000 zł,/pl/oferta/funkcjonalne-2-pokojowe-balkon-15-min-do-metra-ID4nr44
"38m2 tuż przy metrze!2-pok, prysznic!Garaż.Bez Pcc","ul. Szeligowska, Chrzanów, Bemowo, Warszawa, mazowieckie",739 000 zł,/pl/oferta/38m2-tuz-przy-metrze-2-pok-prysznic-garaz-bez-pcc-ID4ntTm
Dwupokojowe mieszkanie z zadbanym ogródkiem,"ul. Starodęby, Skorosze, Ursus, Warszawa, mazowieckie",720 000 zł,/pl/oferta/dwupokojowe-mieszkanie-z-zadbanym-ogrodkiem-ID4nxmz
"Piękny, dwupoziomowy apartament na Zawadach","Powsinek, Wilanów, Warszawa, mazowieckie",1 349 000 zł,/pl/oferta/piekny-dwupoziomowy-apartament-na-zawadach-ID4meVF
Unikatowe 4 pokojowe mieszkanie Miasteczko Wilanów,"ul. Krzysztofa Kieślowskiego 3, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",2 602 400 zł,/pl/oferta/unikatowe-4-pokojowe-mieszkanie-miasteczko-wilanow-ID4nu7V
2-pokojowe mieszkanie 45m2 + balkon,"ul. Optyków, Gocław, Praga-Południe, Warszawa, mazowieckie",740 500 zł,/pl/oferta/2-pokojowe-mieszkanie-45m2-balkon-ID4i0dy
Przestronny apartament 72m2 przy nowej ul. Okrzei.,"ul. Wrzesińska, Stara Praga, Praga-Północ, Warszawa, mazowieckie",1 908 000 zł,/pl/oferta/przestronny-apartament-72m2-przy-nowej-ul-okrzei-ID4mkuY
Apartament 44m2 prestiżowa inwestycja na Mokotowie,"ul. Jana III Sobieskiego, Stegny, Mokotów, Warszawa, mazowieckie",990 000 zł,/pl/oferta/apartament-44m2-prestizowa-inwestycja-na-mokotowie-ID4muGV
słoneczne 3 pokoje dla rodziny_Kabaty,"ul. Batystowa, Kabaty, Ursynów, Warszawa, mazowieckie",1 466 900 zł,/pl/oferta/sloneczne-3-pokoje-dla-rodziny-kabaty-ID4nxr4
3 sypialnie | salon z aneksem | miejsce postojowe,"ul. Gizów 3, Odolany, Wola, Warszawa, mazowieckie",1 100 000 zł,/pl/oferta/3-sypialnie-salon-z-aneksem-miejsce-postojowe-ID4ldTj
Metro 12 min/Po Generalnym Remoncie/ 28 m2/ cisza,"ul. Jana III Sobieskiego, Sadyba, Mokotów, Warszawa, mazowieckie",474 999 zł,/pl/oferta/metro-12-min-po-generalnym-remoncie-28-m2-cisza-ID4nxj2
Stara Ochota - 3 pokoje blisko WUM,"ul. Siewierska, Stara Ochota, Ochota, Warszawa, mazowieckie",1 050 000 zł,/pl/oferta/stara-ochota-3-pokoje-blisko-wum-ID4nhU2
Bez Prowizji | 3 pokoje | bez Pcc |wykończenia pod,"ul. Brzeziny, Brzeziny, Białołęka, Warszawa, mazowieckie",950 000 zł,/pl/oferta/bez-prowizji-3-pokoje-bez-pcc-wykonczenia-pod-ID4nqMg
Segment z Garażem! Doskonała Lokalizacja!,"Zacisze, Targówek, Warszawa, mazowieckie",765 000 zł,/pl/oferta/segment-z-garazem-doskonala-lokalizacja-ID4nxtw
Apartamentowiec Z Ochrona Na Starym Mokotowie,"Stary Mokotów, Mokotów, Warszawa, mazowieckie",3 130 000 zł,/pl/oferta/apartamentowiec-z-ochrona-na-starym-mokotowie-ID4fPQG
Sprzedam mieszkanie,"Ulrychów, Wola, Warszawa, mazowieckie",736 000 zł,/pl/oferta/sprzedam-mieszkanie-ID4nx7C
Na sprzedaż mieszkanie ul. Jana Smulikowskiego,"Powiśle, Śródmieście, Warszawa, mazowieckie",826 000 zł,/pl/oferta/na-sprzedaz-mieszkanie-ul-jana-smulikowskiego-ID4n5pa
"Wyjątkowa inwestycja, klucze już w grudniu 2023","Ulrychów, Wola, Warszawa, mazowieckie",830 000 zł,/pl/oferta/wyjatkowa-inwestycja-klucze-juz-w-grudniu-2023-ID4m39z
"Nowoczesne mieszkanie, Dzielnica 19","ul. Kolejowa 43, Czyste, Wola, Warszawa, mazowieckie",1 020 000 zł,/pl/oferta/nowoczesne-mieszkanie-dzielnica-19-ID4n6kG
3-pokojowe mieszkanie 70m2 + balkon Bezpośrednio,"ul. Optyków, Gocław, Praga-Południe, Warszawa, mazowieckie",1 141 900 zł,/pl/oferta/3-pokojowe-mieszkanie-70m2-balkon-bezposrednio-ID4i0de
3 pokojowe mieszkanie z klimatyzacją dla rodziny,"Fort Bema, Bemowo, Warszawa, mazowieckie",1 350 000 zł,/pl/oferta/3-pokojowe-mieszkanie-z-klimatyzacja-dla-rodziny-ID4mUNq
Przestronne mieszkanie na Starym Mokotowie,"al. Aleja Niepodległości, Stary Mokotów, Mokotów, Warszawa, mazowieckie",990 000 zł,/pl/oferta/przestronne-mieszkanie-na-starym-mokotowie-ID4nxpe
Górny Mokotów pokój z kuchnią wśród zieleni,"ul. Jarosława Dąbrowskiego, Stary Mokotów, Mokotów, Warszawa, mazowieckie",549 000 zł,/pl/oferta/gorny-mokotow-pokoj-z-kuchnia-wsrod-zieleni-ID4nxr0
★ METRO ★NOWE 2 pokoje ★ DWUSTRONNE ★bezpośrednio,"ul. Szeligowska, Chrzanów, Bemowo, Warszawa, mazowieckie",899 000 zł,/pl/oferta/metro-nowe-2-pokoje-dwustronne-bezposrednio-ID4n7Ck
Poddasze 120M2 Do Adaptacji/ Metro 5min/ Stan Dew.,"Czerwonej Jarzębiny, Zacisze, Targówek, Warszawa, mazowieckie",1 650 000 zł,/pl/oferta/poddasze-120m2-do-adaptacji-metro-5min-stan-dew-ID4lswp
4-pokojowe mieszkanie 74m2 + 2 balkony,"Wschodu Słońca, Raków, Włochy, Warszawa, mazowieckie",Zapytaj o cenę,/pl/oferta/4-pokojowe-mieszkanie-74m2-2-balkony-ID4gYbr
Mieszkanie - Warszawa Wilanów,"ul. Sejmu Czteroletniego, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",800 000 zł,/pl/oferta/mieszkanie-warszawa-wilanow-ID4nnTh
Praga Południe ul. Stanów Zjednoczonych .,"al. Aleja Stanów Zjednoczonych, Grochów, Praga-Południe, Warszawa, mazowieckie",669 000 zł,/pl/oferta/praga-poludnie-ul-stanow-zjednoczonych-ID4nxtn
2 pokoje Gocław Nowe do wprowadzenia,"ul. Łukiska, Gocław, Praga-Południe, Warszawa, mazowieckie",749 000 zł,/pl/oferta/2-pokoje-goclaw-nowe-do-wprowadzenia-ID4m8TJ
"dwustronne, w dogodnej lokalizacji","ul. Julianowska, Bródno, Targówek, Warszawa, mazowieckie",865 000 zł,/pl/oferta/dwustronne-w-dogodnej-lokalizacji-ID4lowX
"Klucze IQ 2024, Miasteczko Jutrzenki","ul. Jutrzenki 114, Salomea, Włochy, Warszawa, mazowieckie",670 000 zł,/pl/oferta/klucze-iq-2024-miasteczko-jutrzenki-ID4ndYU
1-pokojowe mieszkanie 30m2 + taras Bezpośrednio,"ul. Optyków, Gocław, Praga-Południe, Warszawa, mazowieckie",646 100 zł,/pl/oferta/1-pokojowe-mieszkanie-30m2-taras-bezposrednio-ID4i0e5
"Bardzo widny, rozkładowy apartament na Zawadach","ul. Jara, Zawady, Wilanów, Warszawa, mazowieckie",1 780 000 zł,/pl/oferta/bardzo-widny-rozkladowy-apartament-na-zawadach-ID4mVXP
Metro | 2021 | Apartament w ciągłym najmie,"ul. Targowa, Kamionek, Praga-Południe, Warszawa, mazowieckie",699 000 zł,/pl/oferta/metro-2021-apartament-w-ciaglym-najmie-ID4nndj
Gotowiec inwestycyjny | Metro | 2021r,"ul. Targowa, Kamionek, Praga-Południe, Warszawa, mazowieckie",719 000 zł,/pl/oferta/gotowiec-inwestycyjny-metro-2021r-ID4nnUF
3 pokojowe mieszkanie w Centrum I blisko METRO,"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",825 000 zł,/pl/oferta/3-pokojowe-mieszkanie-w-centrum-i-blisko-metro-ID4nwh9
3 pokojowe mieszkanie I WOLA NOWOLIPKI I METRO,"Ulrychów, Wola, Warszawa, mazowieckie",825 000 zł,/pl/oferta/3-pokojowe-mieszkanie-i-wola-nowolipki-i-metro-ID4nwoP
3 pokoje po remoncie!,"ul. Złotej Wilgi, Gocław, Praga-Południe, Warszawa, mazowieckie",791 000 zł,/pl/oferta/3-pokoje-po-remoncie-ID4nkBs
Piękne mieszkanie z ogródkiem na Wilanowie,"ul. Syta, Zawady, Wilanów, Warszawa, mazowieckie",1 250 000 zł,/pl/oferta/piekne-mieszkanie-z-ogrodkiem-na-wilanowie-ID4ng59
Mieszkanie 5 pokojowe DWUPOZIOMOWE,"Nowe Włochy, Włochy, Warszawa, mazowieckie",987 850 zł,/pl/oferta/mieszkanie-5-pokojowe-dwupoziomowe-ID4mYPP
Loft Garden Wesoła - ETAP II,"Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie",998 700 zł,/pl/oferta/loft-garden-wesola-etap-ii-ID4m4LM
3-pokojowe mieszkanie 55m2 + balkon Bezpośrednio,"ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",609 620 zł,/pl/oferta/3-pokojowe-mieszkanie-55m2-balkon-bezposrednio-ID4ltMs
2-pokojowe mieszkanie 38m2 + balkon,"ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",477 084 zł,/pl/oferta/2-pokojowe-mieszkanie-38m2-balkon-ID4ltN2
"Miasteczko Jutrzenki, IQ2024, Widok na oczko wodne","Okęcie, Włochy, Warszawa, mazowieckie",810 000 zł,/pl/oferta/miasteczko-jutrzenki-iq2024-widok-na-oczko-wodne-ID4ne0i
Kawalerka w Centrum Warszawy,"al. &amp;amp;amp;amp;quot;Solidarności&amp;amp;amp;amp;quot; 60B, Muranów, Śródmieście, Warszawa, mazowieckie",790 000 zł,/pl/oferta/kawalerka-w-centrum-warszawy-ID4nsbF
4-pokojowe mieszkanie 63m2 + balkon Bezpośrednio,"ul. Ostródzka 118, Grodzisk, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,/pl/oferta/4-pokojowe-mieszkanie-63m2-balkon-bezposrednio-ID4cmGr
4-pokojowe mieszkanie 89m2 + balkon Bez Prowizji,"ul. Goździków, Marysin Wawerski, Wawer, Warszawa, mazowieckie",Zapytaj o cenę,/pl/oferta/4-pokojowe-mieszkanie-89m2-balkon-bez-prowizji-ID4jBQC
Dwupokojowe mieszkanie na Woli,"Juliana Konstantego Ordona, Odolany, Wola, Warszawa, mazowieckie",988 380 zł,/pl/oferta/dwupokojowe-mieszkanie-na-woli-ID4n50F
2pk | oddanie Grudzień 2023 | Stan deweloperski,"ul. Posag 7 Panien, Szamoty, Ursus, Warszawa, mazowieckie",549 000 zł,/pl/oferta/2pk-oddanie-grudzien-2023-stan-deweloperski-ID4noEF
3-pokojowe mieszkanie 66 m² na Woli,"Juliana Konstantego Ordona, Odolany, Wola, Warszawa, mazowieckie",1 399 000 zł,/pl/oferta/3-pokojowe-mieszkanie-66-m-na-woli-ID4nxsN
"3 pokoje, Mokotów, Woronicza","Ksawerów, Mokotów, Warszawa, mazowieckie",1 049 999 zł,/pl/oferta/3-pokoje-mokotow-woronicza-ID4mNlb
"3 pokoje, rozkładowe, metro Natolin","ul. Meander, Natolin, Ursynów, Warszawa, mazowieckie",750 000 zł,/pl/oferta/3-pokoje-rozkladowe-metro-natolin-ID4n2Er
Metro Młociny/Taras/Balkon/6 pokoi,"ul. Heroldów, Młociny, Bielany, Warszawa, mazowieckie",1 970 000 zł,/pl/oferta/metro-mlociny-taras-balkon-6-pokoi-ID4ndNK
BEZP:Sprzedam 90m2 na bliskim Wawrze dla rodziny,"ul. Leśniczówka, Wawer, Wawer, Warszawa, mazowieckie",1 215 000 zł,/pl/oferta/bezpsprzedam-90m2-na-bliskim-wawrze-dla-rodziny-ID4nmOQ
Okazja / Mokotów / 3 Pokoje,"ul. Bernardyńska, Czerniaków, Mokotów, Warszawa, mazowieckie",699 990 zł,/pl/oferta/okazja-mokotow-3-pokoje-ID4nxxa
"Sprzedam bezpośrednio mieszkanie 38 m2, Mokotów","ul. Zygmunta Modzelewskiego, Służew, Mokotów, Warszawa, mazowieckie",760 000 zł,/pl/oferta/sprzedam-bezposrednio-mieszkanie-38-m2-mokotow-ID4nxmg
3-pokojowe mieszkanie 67m2 + balkon,"ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie",Zapytaj o cenę,/pl/oferta/3-pokojowe-mieszkanie-67m2-balkon-ID4cg8z
Warszawa gwiazdzista 134m OKAZJA- 2 miejsca w hali,"Marymont-Potok, Żoliborz, Warszawa, mazowieckie",2 000 000 zł,/pl/oferta/warszawa-gwiazdzista-134m-okazja-2-miejsca-w-hali-ID4ntDM
3-pokojowe mieszkanie 67m2 + balkon,"ul. Goździków, Marysin Wawerski, Wawer, Warszawa, mazowieckie",Zapytaj o cenę,/pl/oferta/3-pokojowe-mieszkanie-67m2-balkon-ID4jBQD
4-pokojowe mieszkanie 95m2 + loggia Bez Prowizji,"ul. Żupnicza, Kamionek, Praga-Południe, Warszawa, mazowieckie",Zapytaj o cenę,/pl/oferta/4-pokojowe-mieszkanie-95m2-loggia-bez-prowizji-ID4mDjD
Doskonale położony apartament przy Morskim Oku,"ul. Słoneczna, Stary Mokotów, Mokotów, Warszawa, mazowieckie",1 949 000 zł,/pl/oferta/doskonale-polozony-apartament-przy-morskim-oku-ID4nbHX
Kameralne mieszkanie na Saskiej Kępie,"ul. Bajońska, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",1 486 107 zł,/pl/oferta/kameralne-mieszkanie-na-saskiej-kepie-ID4nhcE
"Bezpośrednio, piękne mieszkanie na Żoliborzu","Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",1 599 000 zł,/pl/oferta/bezposrednio-piekne-mieszkanie-na-zoliborzu-ID4mGaY
Apartament 4 pokojowy - 75 m2 - BEZPOŚREDNIO,"Osiedle Aurora, Raków, Włochy, Warszawa, mazowieckie",1 340 000 zł,/pl/oferta/apartament-4-pokojowy-75-m2-bezposrednio-ID4nhk3
2pk | oddanie Grudzień 2023 | Ostatnie piętro,"ul. Posag 7 Panien, Szamoty, Ursus, Warszawa, mazowieckie",529 000 zł,/pl/oferta/2pk-oddanie-grudzien-2023-ostatnie-pietro-ID4noEJ
Mieszkanie 3-pokojowe ul. płk. W. Łokuciewskiego,"ul. płk. Witolda Łokuciewskiego, Górce, Bemowo, Warszawa, mazowieckie",1 270 000 zł,/pl/oferta/mieszkanie-3-pokojowe-ul-plk-w-lokuciewskiego-ID4neo2
"Mokotów Cybernetyki, 93m2 M4, 2 łazienki 2 balkony","Służewiec, Mokotów, Warszawa, mazowieckie",1 600 000 zł,/pl/oferta/mokotow-cybernetyki-93m2-m4-2-lazienki-2-balkony-ID3rlmc
3 pokojowe mieszkanie I PKP Ursus,"Skorosze, Ursus, Warszawa, mazowieckie",627 000 zł,/pl/oferta/3-pokojowe-mieszkanie-i-pkp-ursus-ID4nwsb
2 pokoje 53m2 Miasteczko Wilanów Ostoja,"Powsinek, Wilanów, Warszawa, mazowieckie",999 000 zł,/pl/oferta/2-pokoje-53m2-miasteczko-wilanow-ostoja-ID4nnGa
"M2, po gen. remoncie, BEZPOŚREDNIO!","al. Aleja Jana Pawła II 68, Muranów, Śródmieście, Warszawa, mazowieckie",849 000 zł,/pl/oferta/m2-po-gen-remoncie-bezposrednio-ID4nuWK
Kamienica | Metro | Rewitalizacja | Stan Surowy,"ul. Zachariasza, Szmulowizna, Praga-Północ, Warszawa, mazowieckie",360 000 zł,/pl/oferta/kamienica-metro-rewitalizacja-stan-surowy-ID4nfXZ
Bezpośrednio. M. inwestycyjne. Metro Politechnika,"al. Aleja Armii Ludowej, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",1 230 000 zł,/pl/oferta/bezposrednio-m-inwestycyjne-metro-politechnika-ID4fyLF
"Mieszkanie 37.8m2 - 2 osobne pokoje, garaż","ul. Górna Droga, Czechowice, Ursus, Warszawa, mazowieckie",590 000 zł,/pl/oferta/mieszkanie-37-8m2-2-osobne-pokoje-garaz-ID4nsLx
4-pokojowe mieszkanie 80m2 + loggia Bezpośrednio,"ul. Białej Koniczyny/ul. Dzikich Jabłoni, Stegny, Mokotów, Warszawa, mazowieckie",1 632 500 zł,/pl/oferta/4-pokojowe-mieszkanie-80m2-loggia-bezposrednio-ID4i0sz
2 pokoje I Metro I Widok na Fort I Bezpośrednio,"ul. Kopalniana, Chrzanów, Bemowo, Warszawa, mazowieckie",870 000 zł,/pl/oferta/2-pokoje-i-metro-i-widok-na-fort-i-bezposrednio-ID4nkfO
Sprzedam 1-pokojowe mieszkanie na Wilanowie,"Powsinek, Wilanów, Warszawa, mazowieckie",560 000 zł,/pl/oferta/sprzedam-1-pokojowe-mieszkanie-na-wilanowie-ID4ntK7
Mieszkanie Stara Ochota 52 m2 zarezerwowane,"Stara Ochota, Ochota, Warszawa, mazowieckie",849 000 zł,/pl/oferta/mieszkanie-stara-ochota-52-m2-zarezerwowane-ID4nqpe
Elegancki Apartament z Ogrodem BEZPOŚREDNIO,"ul. Białej Floty, Wyględów, Mokotów, Warszawa, mazowieckie",3 569 881 zł,/pl/oferta/elegancki-apartament-z-ogrodem-bezposrednio-ID4nlkh
Klimatyczny loft/ Służew nad Dolinką,"Służew, Mokotów, Warszawa, mazowieckie",1 000 000 zł,/pl/oferta/klimatyczny-loft-sluzew-nad-dolinka-ID4nt1v
Nowoczesny apartament w Miasteczku Wilanów.,"ul. Franciszka Klimczaka, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",1 845 000 zł,/pl/oferta/nowoczesny-apartament-w-miasteczku-wilanow-ID4nh20
"Trzy pokoje z balkonem, widok na zieleń! Metro!","ul. Michała Oczapowskiego, Stare Bielany, Bielany, Warszawa, mazowieckie",883 000 zł,/pl/oferta/trzy-pokoje-z-balkonem-widok-na-zielen-metro-ID4npin
