title,price,area,link1,rooms_No,ownership_form,interior_state,balcony,parking_space,description,link2,street,nbrhood,district,city,vvdship,timestamp
Designerski apartament w prestiżowej lokalizacji,3040000,117.57,https://www.otodom.pl/pl/oferta/designerski-apartament-w-prestizowej-lokalizacji-ID4lXjs,3,pełna własność,do zamieszkania,"ogródek, taras",garaż/miejsce parkingowe,"UWAGA!  Bardzo chętnie współpracuję z innymi agencjami - oferta NN znajduje się pod poniższym linkiem:  _ Dzień dobry, serdecznie zapraszamy do zapoznania się z ofertą zakupu unikatowego apartamentu o powierzchni 117 m2 położonego w kameralnym zespole willi miejskich: Apartamenty Arkadia przy ul. Leszczyny. Jest to propozycja dla osób cieniących sobie niską, kameralną zabudowę, bliskość terenów zielonych oraz niepowtarzalny design miejsca, w którym funkcjonują. To co zdecydowanie wyróżnia apartament to fantastyczna lokalizacja oraz piękny ogród o wielkości blisko 150 m2 okalający zielenią cały apartament. Ponadto wnętrze jest niezwykle spójne, dzięki meblom i dodatkom w stylu art deco panuje w nim klimat nawiązujący do przeszłości, natomiast pomysłowe i modne rozwiązania przenoszą nas w nowoczesną przyszłość. Niezwykle zręczne wtopienie sztuki we wnętrza jest łącznikiem między tymi dwoma światami. Całość została indywidualnie zaprojektowana przez architekta w nowoczesnym, jakościowym i ponadczasowym stylu. Apartamenty Arkadia to jedna z najbardziej prestiżowych i pożądanych lokalizacji na Mokotowie.  Do apartamentu przynależy podwójne miejsce garażowe (z platforma) w garażu podziemnym oraz komórka gospodarcza (2m2).  Ponadto w budynku znajduje się rowerownia (korzystanie bezpłatne). Apartament składa się z: - Przestronnego salonu z jadalnią (36 m2) wyposażonego w BIO kominek, z dużymi oknami/drzwiami wychodzącymi na taras - Osobno wydzielonej kuchni, otwartej na cześć jadalni (13 m2),z dużym oknem/drzwiami wychodzącymi na taras i ogród - Przestronnej sypialni typu master z dużym oknem, drzwiami wychodzącymi na ogród, z przynależnej łazienki z obszerną zabudową szaf (25 m2) - Sypialni mniejszej, która świetnie sprawdzi się jako pokój dla dzieci z przestrzenią na zabawę lub wygodny gabinet (14 m2) - Niezwykle efektywnie zaprojektowanego korytarza wejściowego z bogactwem szaf - Dużej łazienki z wanną, prysznicem, bidetem, umywalka i toaletą oraz naściennymi lustrami (8 m2) - Pomieszczenia gospodarczego z umywalką (2.5 m2) Ekspozycja lokalu jest południowo - zachodnia. Dla zwiększanie komfortu funkcjonowania w najcieplejsze dni w roku zainstalowana została klimatyzacja. Z salonu znajduje się wyjście do ogrodu wprost na taras zabudowany drewnem egzotycznym z dużym stołem i zestawem wypoczynkowym, otoczony drzewami bambusowymi oraz cisami, chroniącymi prywatność mieszkańców. Od strony kuchni oraz sypialni znajduje się wyjście na cześć ogrodu pokrytą trawą, z wysokimi cyprysami oraz tujami. Apartament jest gotowy do zamieszkania, prezentuje bardzo wysoki standard wykończenia: meble i zabudowy - wykonywane na wymiar, drewniana, gatunkowa podłoga olejowana z bielonego dębu, w kuchni i przedpokoju gres, drewniane okna, połączone z zabudowa schodów i donic. Przestronna kuchnia wykonana na zamówienie w kształcie litery L z solidnym blatem czarnego granitu, wyspą z krzesłami barowymi i z duża ilością szafek. W mieszkaniu wykorzystano wyposażenie wysokiej jakości - drzwi, ceramika łazienkowa, najwyższej jakości glazura, markowy sprzęt kuchenny w zabudowie- lodówko-zamrażarka, piekarnik- mikrofala combo, zmywarka i płyta indukcyjna. Okna z żaluzjami antywłamaniowymi sterowanymi z elektrycznie na pilota. W apartamencie jest również założony system alarmowy z centralą alarmowa oraz dodatkowa kamera z systemem czujek alarmowych w ogrodzie z podglądem i sterowaniem ze smartphone. Do Villi wiedzie ślepa uliczka, oddzielona szlabanem od głównej drogi, z dostępem wyłącznie dla mieszkańców. Stan prawny: Własność z Księgą Wieczystą. DODATKOWE ATUTY: Tylko dwa mieszkania na klatce schodowej. Bardzo kameralny budynek.  Na osiedlu jest plac zabaw. Wewnętrzna droga to bezpieczne szaleństwo dla dzieci na naukę jazdy na hulajnodze, rolkach, rowerze. Budynek znajduje się na zamkniętym osiedlu wybudowanym w tradycyjnej technologii, ogrodzony, z ochroną i z monitoringiem. Eleganckie klatki z kamieniami i lustrami, video domofony. KOMUNIKACJA I OKOLICA: Mimo bliskości Puławskiej jest to bardzo cicha, spokojna i bezpieczna okolica. Do metra, tramwaju i autobusu dystans pieszy to ok. 10 min.  Kameralne osiedle otoczone zielenią położone jest w bliskiej odległości do stacji metra oraz tętniącego życiem Starego Mokotowa. Okoliczne parki (Królikarnia, Arkadia) stwarzają doskonałą możliwość do aktywności na świeżym powietrzu i odpoczynku od miejskiego zgiełku. Żyje się tu jak na spokojnych obrzeżach Warszawy, ale w centrum. Świetna lokalizacja w prestiżowej części Mokotowa, bliskość centrum sportowego Warszawianka.  W okolicy pełna infrastruktura, liczne szkoły, przedszkola w tym międzynarodowe, centra handlowe (Galeria Mokotów), sklepy, banki, restauracje. W odległości spaceru liczne tramwaje, autobusy oraz linia Metra (Wilanowska, Wierzbno). Jeśli szukasz nowoczesnego, urządzonego z dużym smakiem mieszkania w centrum Mokotowa, ale jednocześnie bardzo cichego i spokojnego. Jeśli chcesz aby budził Cię śpiew ptaków, a zieleń drzew towarzyszyła ci przy śniadaniach na tarasie we własnym kameralnym ogródku, to właśnie jest to wyjątkowe miejsce, które czeka na Ciebie ;) Zapraszam do kontaktu. HOMEALLY Paulina Korczak 789 168 881 Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",https://www.otodom.pl/pl/oferta/designerski-apartament-w-prestizowej-lokalizacji-ID4lXjs,ul. Leszczyny, Stegny, Mokotów, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
Luksusowy 3 pokojowy apartament na Ochocie,2290000,105.0,https://www.otodom.pl/pl/oferta/luksusowy-3-pokojowy-apartament-na-ochocie-ID4nwdB,2,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,"Luksusowy 2 pokojowy apartament  w bezpośrednim sąsiedztwie parku. Apartament mieści się na Warszawskiej Ochocie przy ulicy Włodarzewskiej. Widok bezpośrednio na park, wodę, drzewa.  Idealny dla osób ceniących sobie prestiż i wysoki standard wykończenia.  Apartament składa się z przestronnego salonu 35m2 połączonego z aneksem kuchennym, 2 pokoi oraz 2  łazienek. Salon połączony z balkonem wychodzącym na widok parku.  Budynek posiada garaż podziemny na kondygnacji -1. Miejsce postojowe w garażu 50 000,00 zł  Pełna infrastruktura w zasięgu krótkiego spaceru  park Szczęśliwicki, restauracje, przedszkola, szkoły, kościół, apteki, przychodnie oraz większe sklepy tj. Biedronka, Stokrotka. Zawarte w ogłoszeniu informacje pochodzą przede wszystkim od właściciela nieruchomości. Zespół Kawecki Nieruchomości dokłada starań, aby każda z ofert była rzetelnie sprawdzona oraz aktualna. Niniejsze ogłoszenie jest wyłącznie informacją i nie stanowi oferty w rozumieniu art. 66 § 1 Kodeksu Cywilnego.",https://www.otodom.pl/pl/oferta/luksusowy-3-pokojowy-apartament-na-ochocie-ID4nwdB,ul. Włodarzewska 51, Szczęśliwice, Ochota, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
"Metro Płocka 34,5m2 + garaż",819000,34.5,https://www.otodom.pl/pl/oferta/metro-plocka-34-5m2-garaz-ID4nwd8,2,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,"MIESZKANIE : Mieszkanie znajduje się na drugim piętrze budynku z 2021 roku. Składa się z salonu połączonego z kuchnia, łazienki i pół otwartej sypialni, balkonu Pomimo centralnej lokalizacji-mieszkanie jest ciche i widne. LOKALIZACJA: Idealna pod kątem komunikacyjnym. do najbliższego METRA-METRO PŁOCKA mamy zaledwie 150 metrów. Mieszkanie idealnie nadaje się pod kątem inwestycyjnym jak również dla singla bądź pary. Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",https://www.otodom.pl/pl/oferta/metro-plocka-34-5m2-garaz-ID4nwd8,ul. Skierniewicka 34a, Czyste, Wola, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
Wykończone przez projektanta 3 pokoje blisko metra,980000,61.0,https://www.otodom.pl/pl/oferta/wykonczone-przez-projektanta-3-pokoje-blisko-metra-ID4nw9h,3,pełna własność,do zamieszkania,no data,no data,"To mieszkanie zlokalizowane jest w malowniczym rejonie Bemowa, w sąsiedztwie Parku Górczewska, przedszkola, szkoły, stacji metra, terenów rekreacyjnych, kina oraz restauracji. Pod samym budynkiem znajduje się centrum usługowe, zapewniające wygodę codziennego życia. Zaledwie 7 minut spacerem dzieli to miejsce od stacji metra Bemowo. Apartament zachwyca najwyższym standardem wykończenia, oferując dwie sypialnie idealne do rodzinnego życia w spokojnej okolicy. Przestronny i jasny salon z kuchnią zapewnia komfortowe przestrzenie do wspólnego spędzania czasu z rodziną. Dodatkowym atutem jest funkcjonalna garderoba o powierzchni 5 metrów kwadratowych, idealna na przechowywanie wszystkich niezbędnych rzeczy. Każdy pokój posiada bezpośrednie wyjście na 40-metrowy ogródek, który dodaje uroku temu miejscu. Salon + Kuchnia: 20,4 m2 Sypialnia 1: 11,3 m2 Sypialnia 2: 10 m2 Korytarz: 9,3 m2 Garderoba: 4,4 m2 Łazienka: 5 m2 Ogródek: 40 m2 Do mieszkania przynależy także komórka lokatorska (dodatkowo płatna 26 500 zł).",https://www.otodom.pl/pl/oferta/wykonczone-przez-projektanta-3-pokoje-blisko-metra-ID4nw9h,ul. gen. Tadeusza Pełczyńskiego, Górce, Bemowo, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
blisko s8 i CH Targówek - 12min do Metra,464000,38.04,https://www.otodom.pl/pl/oferta/blisko-s8-i-ch-targowek-12min-do-metra-ID4nw9i,2,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,no data,https://www.otodom.pl/pl/oferta/blisko-s8-i-ch-targowek-12min-do-metra-ID4nw9i,ul. Leona Berensona, Grodzisk, Białołęka, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
3pok*62m2*Tarchomin*dwustronne*bez prowizji,724200,62.05,https://www.otodom.pl/pl/oferta/3pok62m2tarchomindwustronnebez-prowizji-ID4nwdf,3,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,"Nowe, dwustronne, 3 pokojowe mieszkanie z balkonem. Odbiór we wrześniu 2025r, w stanie deweloperskim. Planowane przekazanie kluczy - 09.2025 Miejsce naziemne – 22 000zł Garaż podziemny – 34 000zł Bez podatku PCC. Nie pobieram prowizji od kupującego. Salon z aneksem - 26,06 m2 Sypialnia - 11,46 m2 Sypialnia - 9,72 m2 Garderoba - 2,76 m2 Łazienka - 4,21 m2 Łazienka - 3,02 m2 Korytarz - 4,82 m2 Balkon - 4,00 m2 Nowoczesne osiedle zlokalizowane na Białołęce. Jest położone w zielonym, cichym otoczeniu, oddalonym od Śródmieścia około 30 minut. Osiedle jest bardzo kameralne, w jego skład wchodzą 2 budynki 4 piętrowe. Okolica charakteryzuje się niską zabudową. Na terenie inwestycji będzie znajdować się plac zabaw. Do dyspozycji mieszkańców będą też wózkownie, rowerownie, miejsca w hali garażowej oraz miejsca postojowe, dwa stanowiska do ładowania samochodów elektrycznych, zadaszone stojaki na rowery. W budynku będzie również instalacja pozwalająca na gromadzenie wody opadowej oraz instalacja fotowoltaiczna. Przystanek autobusowy znajduje się 100m od osiedla, a tramwajowy 400m. Osobom zmotoryzowanym dojazd do pozostałych części Warszawy umożliwia bliskość ulicy Modlińskiej. Okolica wciąż się rozwija. W okolicy znajdują się szkoły, przedszkola, sklepy, kościół, siłownia, liczne punkty usługowe, park Ogrody Mehoffera, ośrodki sportowe, boiska, skatepark, a także basen. Spacer nad Wisłę zajmuje około 15 minut. W mojej ofercie znajdziecie Państwo również inne metraże i rozkłady mieszkań na tym osiedlu. Potrzebujesz pomocy przy wyborze kredytu hipotecznego? Nasi wykwalifikowani doradcy finansowi z ponad 15 letnim doświadczeniem bezpłatnie pomogą w przejściu przez cały proces kredytowy i w wyborze najlepszej oferty. Współpracujemy również z firmami zajmującymi się kompleksowym wykończeniem wnętrz. Zainteresowane osoby zachęcam do kontaktu. Niniejsze ogłoszenie nie stanowi oferty w rozumieniu Kodeksu Cywilnego, lecz ma charakter informacyjny. Przedstawione wizualizacje i grafiki mają charakter wyłącznie poglądowy i stanowią wyłącznie materiał pomocniczy, ułatwiający zorientowanie się w ogólnym wyglądzie oferowanej nieruchomości. Niniejsze ogłoszenie wraz z jego elementami jest własnością  Północ Nieruchomości Sp z o.o.  lub podmiotu współpracującego. Wszelkie prawa zastrzeżone. Kopiowanie, rozpowszechnianie oraz korzystanie z niniejszych materiałów w jakikolwiek inny sposób wykraczający poza dozwolony użytek określony przepisami ustawy z 4 lutego 1994 r. o prawie autorskim i prawach pokrewnych (Dz. U. 1994, nr 24 poz. 83 z późn. zm.) bez pisemnej zgody Północ Nieruchomości Sp z o.o. lub podmiotów współpracujących jest zabronione i może stanowić podstawę odpowiedzialności cywilnej oraz karnej. Niniejsze materiały stanowią tajemnicę przedsiębiorstwa PÓŁNOC NIERUCHOMOŚCI Sp. z o.o.  w rozumieniu ustawy z dnia 16 kwietnia 1993 r. o zwalczaniu nieuczciwej konkurencji (Dz. U. z 2003 r., Nr 153, poz. 1503 z późn. zm.). Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",https://www.otodom.pl/pl/oferta/3pok62m2tarchomindwustronnebez-prowizji-ID4nwdf,ul. Talarowa, Tarchomin, Białołęka, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
"Rodno Wiatraczna, 62 m2, 3 pokoje, 1 piętro",949000,62.0,https://www.otodom.pl/pl/oferta/rodno-wiatraczna-62-m2-3-pokoje-1-pietro-ID4nwd6,3,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,"Na sprzedaż przestronne, 3 pokojowe mieszkanie o powierzchni 62 m2 zlokalizowane na 1 piętrze w apartamentowcu przy Rondzie Wiatraczna. Pobliska pętla tramwajowa i liczne linie autobusowe zapewniają sprawną komunikację praktycznie z każdym punktem Warszawy, tylko 15 min do Centrum.  Układa mieszkania wyraźnie podzielony na dwie strefy, tj. strefę dzienną/ gościnną, tu: przedpokój z szafą wnękową, salon połączony z w pełni wyposażoną kuchnią (płyta grzewcza, piekarnik, lodówka, zmywarka), toaleta oraz strefę nocną/ wypoczynku składającą się z dwóch sypialni oraz łazienki (wanna, umywalka, wc, prysznic).  W mieszkaniu, telefon, telewizja kablowa, Internet. W cenie mieszkania podziemne miejsce parkingowe o powierzchni 12 m2. W najbliższej okolicy liczne sklepy i punkty usługowe, także Galeria Handlowa Rondo Wiatraczna (kiedyś słynny Uniwersam Grochów) a tuż obok niej doskonale zaopatrzony i niedrogi bazar.  Mieszkanie posiada księgę wieczystą bez obciążeń. Proponowana cena:  949 000 PLN. Osoby zainteresowane zapraszam na prezentację mieszkania oraz zachęcam do negocjacji ostatecznej ceny jego zakupu. Z uwagi na fakt, że część prezentowanych informacji pochodzi od osób trzecich i pomimo starań nie zawsze możliwa jest ich pełna weryfikacja - Libero Nieruchomości nie ponosi odpowiedzialności za ich kompletność i zgodność z aktualnym stanem faktycznym. Oferta nie jest ofertą w rozumieniu Kodeksu Cywilnego, lecz ma charakter informacyjny.   Prezentowanie nieruchomości - na życzenie klienta po uprzednim umówieniu się.  Zapraszamy do kontaktu z opiekunem oferty codziennie w godz. 9.00 - 18.00.    • Zapewniamy sprawną i kompleksową obsługę transakcji! • Porady prawne i tekst umowy przedwstępnej w kwocie prowizji! • Sprzedając dotychczasowe mieszkanie lub dom i kupując nową nieruchomość za naszym pośrednictwem uzyskasz najlepsze warunki współpracy!   Nr licencji pośrednika –15861 Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",https://www.otodom.pl/pl/oferta/rodno-wiatraczna-62-m2-3-pokoje-1-pietro-ID4nwd6,no info,Grochów, Praga-Południe, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
Idealna pod inwestycję Kamienica,450000,24.25,https://www.otodom.pl/pl/oferta/idealna-pod-inwestycje-kamienica-ID4nwcB,2,pełna własność,do zamieszkania,no data,no data,"Praga Północ, zabytkowa część Szmulowizny. W 3 minuty dojdziemy do przystanku Bazylika Kawęczyńska skąd dojedziemy bezpośrednio tramwajem do Centrum oraz Metro Dw.Wileński i Metro Ratusz Arsenał. W 6 minut dojdziemy do przystanku autobusowego Wołomińska z bezpośrednim dojazdem do Dw. Wileńskiego i PKP Zacisze Wilno. W promieniu 900m znajdziemy stację Metro Szwedzka oraz w odległości 1100m Metro Wileńska. Dookoła budynku znajdziemy sklepy spożywcze, supermarkety, galerie handlowe, zakłady fryzjerskie, szkoły i przedszkola. Przy budynku znajduje się Wyższa Szkoła Menadżerska oraz Bazylika Kawęczyńska i Park Michałowski. Budynek po rewitalizacji, Kamienica, ze świetnym potencjałem w okolicy, która teraz przeżywa swój renesans. Wspólnota przeprowadzila wymianę wszystkich instalacji oraz remont elewacji, klatek i dachu. Pełna własność - księga wieczysta bez obciążeń. Cena wraz z meblami i AGD . tel. 883 271 753",https://www.otodom.pl/pl/oferta/idealna-pod-inwestycje-kamienica-ID4nwcB,no info,Szmulowizna, Praga-Północ, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
Ul. Paca - 2 pokoje z oddzielna kuchnią!,645000,48.0,https://www.otodom.pl/pl/oferta/ul-paca-2-pokoje-z-oddzielna-kuchnia-ID4nw9g,2,pełna własność,do zamieszkania,no data,no data,"Warszawa – Praga Południe – Ul. Paca Cena: 645 000 PLN (do negocjacji) Oferta na zasadach wyłączności Mieszkanie posiada powierzchnie 48m2, a w tym: 2 pokoje, oddzielna jasna kuchnia, łazienka z WC, przedpokój oraz dodatkowo piwnica. Znajduję się na 3 piętrze w 3 piętrowym budynku z lat 50-tych. Nad mieszkaniem znajduję się strych. Ciche mieszkanie z widokiem na zieleń. W okolicy wiele sklepów oraz punktów usługowych. Blisko Park Polińskiego oraz Obwodu Pragi Armii Krajowej. Przystanek autobusowy: 1 minuta pieszo Przystanek tramwajowy: 3 minuty pieszo Stan w prawny uregulowany – Możliwość zakupu na kredyt. Przed oglądaniem mieszkania należy podpisać standardową umowę pośrednictwa w kupnie. Kontakt: Biuro nieruchomości AreaHouse Oddział III - AreaHouse Praga Sp. z o.o. Al. Waszyngtona 85 Tel: 575 818 281",https://www.otodom.pl/pl/oferta/ul-paca-2-pokoje-z-oddzielna-kuchnia-ID4nw9g,ul. Ludwika Michała Paca, Grochów, Praga-Południe, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
"Klimatyczne, rozkładowe tuż przy Placu Zamkowym",1500000,67.43,https://www.otodom.pl/pl/oferta/klimatyczne-rozkladowe-tuz-przy-placu-zamkowym-ID4nl6L,3,pełna własność,no data,balkon,no data,"Przestronne, klimatyczne mieszkanie w malowniczo położnej, spowitej dzikim winem, kamienicy na bliskim Powiślu, kilka kroków od Placu Zamkowego i Traktu Królewskiego. Mieszkanie do generalnym remoncie przeprowadzonym w latach 90-tych XX w. W  całym mieszkaniu wymieniono instalacje elektryczną, na ścianach i suficie położono gładzie, wyremontowano łazienkę, kuchnię oraz przedpokój. Na podłogach w pokojach i przedpokoju gruby parkiet dębowy. Mieszkanie składa się z trzech pokoi (18,1 m2, 15,3m2, 10,7m2), dużej ustawnej kuchni (9,65m2), łazienki (3,2m2) oraz przedpokoju (10,48m2). Duży pokój narożny z oknami w kierunku zachodnim i południowym. Średni pokój z wyjściem na niewielki balkon (1 m2) z pięknym widokiem na kamieniczki po zachodniej stronie Krakowskiego Przedmieścia, Kolumnę Zygmunta na Placu Zamkowym oraz Zamek Królewski. Najmniejszy pokój (10.7m2) oraz kuchnia (9,65m2) z oknami w kierunku południowym z widokiem na kameralny park biegnący w kierunku ulicy Bednarskiej. Łazienka z dużą wanną, umywalką oraz WC. Kuchnia w zabudowie, kompletnie wyposażona z jadalnią. Duży przedpokój (10,48m2) z szafą w zabudowie typu komandor. Mieszkanie wysokie, wysokość stropów 2,8m. Wszystkie okna drewniane, podwójne. Drzwi wejściowe antywłamaniowe. Do mieszkania przynależy piwnica (ok. 5 m2) na poziomie (-1). Klatka schodowa czysta, świeżo po remoncie. Wejście do budynku ograniczone, kod dostępu/domofon. Dom położony na skarpie wiślanej. Bardzo dogodne skomunikowanie z miastem. Sto metrów do przystanków tramwajowych/autobusowych przy trasie W-Z. Schody ruchome na Plac Zamkowy, kilka kroków na Mariensztat i dalej na Bulwary Wiślane. Mieszkanie w dobrym stanie, nie wymaga kosztownego remontu, wystarczy odświeżenie tj. odmalowanie ścian.         ::KONTAKT DO AGENTA  Maciej Smoręda 604642773 604 642 773",https://www.otodom.pl/pl/oferta/klimatyczne-rozkladowe-tuz-przy-placu-zamkowym-ID4nl6L,ul. Boczna, Powiśle, Śródmieście, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
Mieszkanie bezczynszowe Rembertów Masztalerska,1150000,158.0,https://www.otodom.pl/pl/oferta/mieszkanie-bezczynszowe-rembertow-masztalerska-ID4nbmC,5,pełna własność,do wykończenia,"balkon, ogródek",garaż/miejsce parkingowe,"Sprzedam segmenty o powierzchni 158m² ( 105m² + 53m² wysokie poddasze do własnej aranżacji) zlokalizowane w Rembertowie przy ulicy Masztalerskiej. Inwestycja obejmuje 8 lokali usytuowanych w 2 budynkach. Do każdego lokalu przynależą 2 miejsca parkingowe. Pełne uzbrojenie terenu tzn. prąd, gaz, woda miejska, kanalizacja, światłowód.  Lokale w stanie developerskim, wyposażone w instalację teletechniczną, możliwość instancji stacji ładowania samochodu elektrycznego przy każdym lokalu. Zagospodarowana część wspólna. Bardzo dobra lokalizacja, zapewniająca ciszę, komfort i dogodna komunikację. W bliskiej odległości szkoła, sklepy, przystanek autobusowy, stacja SKM.  Podana cena 1 150 000 zł obejmuje środkowy segment z przynależnym ogródkiem o powierzchni 44m².  Zakończenie inwestycji: październik 2023r.  Dostępne również segmenty skrajne, z przynależnymi ogródkami od 80-150m² Sprzedaż bezpośrednia, pośrednikom dziękuje.",https://www.otodom.pl/pl/oferta/mieszkanie-bezczynszowe-rembertow-masztalerska-ID4nbmC,ul. Masztalerska, Stary Rembertów, Rembertów, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
Apartament w odrestaurowanej kamienicy Merliniego,3100000,115.36,https://www.otodom.pl/pl/oferta/apartament-w-odrestaurowanej-kamienicy-merliniego-ID4nwcs,4,pełna własność,no data,balkon,garaż/miejsce parkingowe,"Apartament znajduje się w odrestaurowanej przedwojennej kamienicy z 1938 roku przy Puławskiej i Merliniego. W okolicy parku królikarnia oraz morskie oko. Jest to kameralna inwestycja, która została zrealizowana w tym roku 2023. Odnowiony został cały budynek, poczynając od elewacji, klatek, garaży i piwnic przez stworzenie reprezentacyjnego wejścia, a także zainstalowane zostały windy. Apartament znajduje się na 4 i ostatnim piętrze kamienicy, posiada bardzo komfortowy rozkład z podziałem na część dzienną i nocną.   Salon jest bardzo duży i przestronny oraz wychodzi na stronę południowo zachodnią, drzewa widoczne z okien dodają mieszkaniu uroku, z kolei wszystkie sypialnie mają ekspozycję na cichą oraz intymną stronę. Apartament wykończony został bardzo dobrej jakości materiałami. Podłoga wykonana została z dużej litej deski dębowej, lastryko oraz płyt gresowych. Kuchnia i jej zabudowa wykonana została na wymiar przez stolarza oraz wyposażona sprzętami Simensa. W mieszkaniu znajduje się bardzo dużo miejsca do przechowywania rzeczy, a cała zabudowa szafowa wykonana została na specjalne zamówienie. Do mieszkania przynależy miejsce w garażu podziemnym na jeden samochód, nie mniej przed budynkiem znajdzie się miejsce dla przynajmniej jednego kolejnego samochodu. Cena za garaż to 80 tys zł. Do mieszkania przynależy komórka lokatorska 4m2 w cenie 20 tys zł.",https://www.otodom.pl/pl/oferta/apartament-w-odrestaurowanej-kamienicy-merliniego-ID4nwcs,ul. Puławska, Wierzbno, Mokotów, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
Centrum 2 pokoje w kamienicy,1449000,64.3,https://www.otodom.pl/pl/oferta/centrum-2-pokoje-w-kamienicy-ID4nwcm,2,pełna własność,do zamieszkania,no data,no data,"Stąd w każde miejsce Warszawy bezpośrednio i szybko. Kilka kroków do okolicznych restauracji, na zakupy w przysłowiowych kapciach. Mieszkanie jest fantastyczne; jasne, przytulne i ciepłe.  Czy prowadzisz aktywne życie czy chcesz odetchnąć po pracy, wyjść na kolację nie martwiąc się o dojazd - nie znajdziesz lepszego miejsca.   Własność Powierzchnia 64,3 m². Ulokowane na trzecim piętrze, w środku budynku - składa się z dwóch pokojów, oddzielnej kuchni, łazienki z toaletą i przedpokoju. Wysokie na 2,80 m wnętrza - komfort przestrzeni, dobrego oświetlenia i znakomicie ustawne. Mieszkanie w bardzo dobrym standardzie, w zasadzie  Kamienica Rok budowy - 1952 Winda Podjazd dla wózków Cegła Teren zamknięty Monitoring . Kompletne zaplecze handlowe i usługowe, blisko do uczelni i w ogóle szkolnictwa, urzędów, służby zdrowia. Komunikacyjnie - bez zarzutu; wszystkie rodzaje komunikacji. metro, tramwaj, autobus, kolej, kolej podmiejska.",https://www.otodom.pl/pl/oferta/centrum-2-pokoje-w-kamienicy-ID4nwcm,ul. Wilcza, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
"36m2 + balkon | Ochota, ul. Szczęśliwicka",520000,36.6,https://www.otodom.pl/pl/oferta/36m2-balkon-ochota-ul-szczesliwicka-ID4n31y,2,no data,no data,balkon,no data,"REZERWACJA DO 15 PAŹDZIERNIKA =LOKALIZACJA= Mieszkanie na Starej Ochocie, w pobliżu Dworca Zachodniego, Parku Pięciu sióstr. W pobliżu także liczne sklepy, biurowce, usługi.  =ROZKŁAD= Mieszkanie znajduje się na 8 piętrze budynku przy ul. Szczęśliwickiej. Na powierzchni 36,6 m.kw. znajduje się: salon, oddzielna kuchnia z oknem, 1 sypialnia, łazienka oraz hall. Mieszkanie posiada też balkon. Wysokość pomieszczeń 2.6 m.  =STANDARD= Mieszkanie rozkładowe, z potencjałem do aranżacji i przeróbek. Okna plastikowe, podłoga klepka. Wymaga remontu.     =BUDYNEK= Budynek z połowy lat 60-tych. Zadbany, Czyste klatki schodowe, nowe windy.  =INFORMACJE DODATKOWE= Księga wieczysta. Pełna własność bez hipoteki.  Dodatkowo piwnica. Mieszkanie dobre pod inwestycję jak i na własne potrzeby.  Jako biuro nieruchomości pobieramy prowizję. Zapraszamy na prezentację.",https://www.otodom.pl/pl/oferta/36m2-balkon-ochota-ul-szczesliwicka-ID4n31y,ul. Szczęśliwicka, Stara Ochota, Ochota, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
